date,hour,daytype,mesh_code,count
2020-09-01,0,平日,53394509414,17
2020-09-01,0,平日,53394519332,9
2020-09-01,0,平日,53394630341,20
2020-09-01,0,平日,53394621111,21
2020-09-01,0,平日,53394519412,18
2020-09-01,0,平日,53394630313,36
2020-09-01,0,平日,53394529122,22
2020-09-01,0,平日,53394600322,14
2020-09-01,0,平日,53394519234,3
2020-09-01,0,平日,53394631423,56
2020-09-01,0,平日,53394640212,22
2020-09-01,0,平日,53394529213,8
2020-09-01,0,平日,53394631322,13
2020-09-01,0,平日,53394631114,10
2020-09-01,0,平日,53394528241,7
2020-09-01,0,平日,53394620114,2
2020-09-01,0,平日,53394529311,11
2020-09-01,0,平日,53394509324,6
2020-09-01,0,平日,53394610433,3
2020-09-01,0,平日,53394631221,10
2020-09-01,0,平日,53394641214,42
2020-09-01,0,平日,53394549214,50
2020-09-01,0,平日,53394610421,1
2020-09-01,0,平日,53394509444,17
2020-09-01,0,平日,53394620433,44
2020-09-01,0,平日,53394528444,37
2020-09-01,0,平日,53394620332,6
2020-09-01,0,平日,53394529113,10
2020-09-01,0,平日,53394610214,1
2020-09-01,0,平日,53394519331,16
2020-09-01,0,平日,53394632131,26
2020-09-01,0,平日,53394539412,9
2020-09-01,0,平日,53394528214,18
2020-09-01,0,平日,53394529231,4
2020-09-01,0,平日,53394600313,37
2020-09-01,0,平日,53394610112,16
2020-09-01,0,平日,53394509443,13
2020-09-01,0,平日,53394610234,2
2020-09-01,0,平日,53394539212,4
2020-09-01,0,平日,53394600443,54
2020-09-01,0,平日,53394621143,32
2020-09-01,0,平日,53394539213,26
2020-09-01,0,平日,53394529323,19
2020-09-01,0,平日,53394621341,20
2020-09-01,0,平日,53394528242,13
2020-09-01,0,平日,53394549222,22
2020-09-01,0,平日,53394549241,12
2020-09-01,0,平日,53394529424,8
2020-09-01,0,平日,53394640131,15
2020-09-01,0,平日,53394528424,17
2020-09-01,0,平日,53394631244,52
2020-09-01,0,平日,53394610243,6
2020-09-01,0,平日,53394631424,35
2020-09-01,0,平日,53394632124,50
2020-09-01,0,平日,53394641213,9
2020-09-01,0,平日,53394519241,2
2020-09-01,0,平日,53394529141,28
2020-09-01,0,平日,53394621121,26
2020-09-01,0,平日,53394620424,35
2020-09-01,0,平日,53394630212,8
2020-09-01,0,平日,53394539132,12
2020-09-01,0,平日,53394620331,2
2020-09-01,0,平日,53394632113,28
2020-09-01,0,平日,53394518432,9
2020-09-01,0,平日,53394621434,102
2020-09-01,0,平日,53394631131,8
2020-09-01,0,平日,53394539223,1
2020-09-01,0,平日,53394620323,1
2020-09-01,0,平日,53394631413,24
2020-09-01,0,平日,53394620423,17
2020-09-01,0,平日,53394632411,40
2020-09-01,0,平日,53394600233,21
2020-09-01,0,平日,53394528432,10
2020-09-01,0,平日,53394539114,12
2020-09-01,0,平日,53394611334,19
2020-09-01,0,平日,53394621323,13
2020-09-01,0,平日,53394640222,17
2020-09-01,0,平日,53394630343,9
2020-09-01,0,平日,53394610223,9
2020-09-01,0,平日,53394611141,31
2020-09-01,0,平日,53394509422,14
2020-09-01,0,平日,53394632322,25
2020-09-01,0,平日,53394621324,9
2020-09-01,0,平日,53394539443,75
2020-09-01,0,平日,53394519421,2
2020-09-01,0,平日,53394631233,53
2020-09-01,0,平日,53394630411,40
2020-09-01,0,平日,53394600442,43
2020-09-01,0,平日,53394611314,21
2020-09-01,0,平日,53394600333,29
2020-09-01,0,平日,53394620221,4
2020-09-01,0,平日,53394641124,19
2020-09-01,0,平日,53394509243,9
2020-09-01,0,平日,53394519134,25
2020-09-01,0,平日,53394539324,12
2020-09-01,0,平日,53394529144,2
2020-09-01,0,平日,53394529132,24
2020-09-01,0,平日,53394631132,29
2020-09-01,0,平日,53394610213,5
2020-09-01,0,平日,53394631141,38
2020-09-01,0,平日,53394509421,11
2020-09-01,0,平日,53394539424,4
2020-09-01,0,平日,53394528244,7
2020-09-01,0,平日,53394528224,14
2020-09-01,0,平日,53394630331,36
2020-09-01,0,平日,53394600432,24
2020-09-01,0,平日,53394600143,9
2020-09-01,0,平日,53394611331,14
2020-09-01,0,平日,53394630334,9
2020-09-01,0,平日,53394528142,58
2020-09-01,0,平日,53394630244,35
2020-09-01,0,平日,53394611134,16
2020-09-01,0,平日,53394610113,26
2020-09-01,0,平日,53394518414,10
2020-09-01,0,平日,53394620341,8
2020-09-01,0,平日,53394610422,6
2020-09-01,0,平日,53394539111,20
2020-09-01,0,平日,53394631324,35
2020-09-01,0,平日,53394641232,35
2020-09-01,0,平日,53394600423,36
2020-09-01,0,平日,53394610124,11
2020-09-01,0,平日,53394529313,7
2020-09-01,0,平日,53394630143,23
2020-09-01,0,平日,53394539144,2
2020-09-01,0,平日,53394519434,5
2020-09-01,0,平日,53394529421,11
2020-09-01,0,平日,53394611133,23
2020-09-01,0,平日,53394600431,10
2020-09-01,0,平日,53394539413,8
2020-09-01,0,平日,53394519432,2
2020-09-01,0,平日,53394528422,7
2020-09-01,0,平日,53394529241,2
2020-09-01,0,平日,53394632332,44
2020-09-01,0,平日,53394631422,27
2020-09-01,0,平日,53394631211,27
2020-09-01,0,平日,53394519232,5
2020-09-01,0,平日,53394519433,13
2020-09-01,0,平日,53394509342,9
2020-09-01,0,平日,53394529124,21
2020-09-01,0,平日,53394519441,2
2020-09-01,0,平日,53394630114,7
2020-09-01,0,平日,53394529214,2
2020-09-01,0,平日,53394640121,10
2020-09-01,0,平日,53394641231,25
2020-09-01,0,平日,53394620422,16
2020-09-01,0,平日,53394632321,16
2020-09-01,0,平日,53394611113,19
2020-09-01,0,平日,53394518434,5
2020-09-01,0,平日,53394610141,6
2020-09-01,0,平日,53394509433,8
2020-09-01,0,平日,53394621133,43
2020-09-01,0,平日,53394528443,40
2020-09-01,0,平日,53394529244,2
2020-09-01,0,平日,53394630434,11
2020-09-01,0,平日,53394610222,18
2020-09-01,0,平日,53394620223,8
2020-09-01,0,平日,53394630111,1
2020-09-01,0,平日,53394610344,1
2020-09-01,0,平日,53394630324,17
2020-09-01,0,平日,53394611111,93
2020-09-01,0,平日,53394630122,11
2020-09-01,0,平日,53394509412,7
2020-09-01,0,平日,53394539112,15
2020-09-01,0,平日,53394620241,2
2020-09-01,0,平日,53394509344,3
2020-09-01,0,平日,53394620324,1
2020-09-01,0,平日,53394621144,16
2020-09-01,0,平日,53394600414,14
2020-09-01,0,平日,53394549224,20
2020-09-01,0,平日,53394630413,27
2020-09-01,0,平日,53394630141,13
2020-09-01,0,平日,53394539423,2
2020-09-01,0,平日,53394630112,1
2020-09-01,0,平日,53394630421,27
2020-09-01,0,平日,53394539121,32
2020-09-01,0,平日,53394631143,42
2020-09-01,0,平日,53394642112,24
2020-09-01,0,平日,53394631222,27
2020-09-01,0,平日,53394519211,1
2020-09-01,0,平日,53394529211,13
2020-09-01,0,平日,53394519344,17
2020-09-01,0,平日,53394519224,7
2020-09-01,0,平日,53394539214,8
2020-09-01,0,平日,53394631341,35
2020-09-01,0,平日,53394631311,5
2020-09-01,0,平日,53394621413,25
2020-09-01,0,平日,53394611322,32
2020-09-01,0,平日,53394509423,15
2020-09-01,0,平日,53394610123,9
2020-09-01,0,平日,53394600231,16
2020-09-01,0,平日,53394641212,33
2020-09-01,0,平日,53394519143,23
2020-09-01,0,平日,53394509411,11
2020-09-01,0,平日,53394641241,22
2020-09-01,0,平日,53394610442,8
2020-09-01,0,平日,53394630444,13
2020-09-01,0,平日,53394610434,1
2020-09-01,0,平日,53394631342,25
2020-09-01,0,平日,53394529322,22
2020-09-01,0,平日,53394631321,23
2020-09-01,0,平日,53394641211,15
2020-09-01,0,平日,53394640214,21
2020-09-01,0,平日,53394600314,35
2020-09-01,0,平日,53394621443,22
2020-09-01,0,平日,53394630311,34
2020-09-01,0,平日,53394630144,18
2020-09-01,0,平日,53394620131,2
2020-09-01,0,平日,53394549213,42
2020-09-01,0,平日,53394641243,23
2020-09-01,0,平日,53394621334,26
2020-09-01,0,平日,53394631142,22
2020-09-01,0,平日,53394518433,2
2020-09-01,0,平日,53394621141,19
2020-09-01,0,平日,53394620113,2
2020-09-01,0,平日,53394630234,47
2020-09-01,0,平日,53394539322,18
2020-09-01,0,平日,53394640113,22
2020-09-01,0,平日,53394519444,2
2020-09-01,0,平日,53394621333,17
2020-09-01,0,平日,53394632311,18
2020-09-01,0,平日,53394549242,24
2020-09-01,0,平日,53394630332,27
2020-09-01,0,平日,53394539243,7
2020-09-01,0,平日,53394610133,1
2020-09-01,0,平日,53394519442,1
2020-09-01,0,平日,53394528442,22
